Origin,Destination,Weight (m3)
1,1,7141817877
6,1,351182.3328
9,1,88132.75984
12,1,44528558.74
13,1,1303844101
17,1,10492971.18
18,1,59146.53702
20,1,6152893.373
21,1,4786354.155
22,1,123996757.4
24,1,116121.2439
25,1,58327.32268
27,1,200390.535
28,1,85701948.15
29,1,104952.8244
31,1,58938.69288
34,1,8160306.229
36,1,6884329.723
37,1,5740179.074
39,1,6641281.946
42,1,57776.32937
45,1,66353.75545
47,1,12585008.64
48,1,2399932.393
51,1,317218.601
54,1,1871462.151
2,2,3158184.8
1,4,7834522.078
4,4,6268492882
5,4,15473819.34
6,4,1248760275
8,4,110078958.9
9,4,2397669.166
12,4,55120139.97
13,4,76456454.18
15,4,7238.961565
16,4,22798622.37
17,4,133841519.6
18,4,16005051.44
19,4,85435648.32
20,4,17689335.73
21,4,21521759.74
22,4,2475326.044
23,4,188133.7871
24,4,24285557.68
25,4,80129626.32
26,4,83193440.02
27,4,104585943.8
28,4,15799132.72
29,4,14746948.18
30,4,108480529.1
31,4,40327397.45
32,4,27221152.61
34,4,66890774.8
35,4,10312180.02
36,4,27179991.69
37,4,37254226.05
39,4,64967630.51
40,4,8301770.608
41,4,29320230.76
42,4,39864592.91
45,4,16510624.57
46,4,7786836.353
47,4,59819440.84
48,4,116666459.8
49,4,39867757.89
51,4,33405647.32
53,4,118717977.8
55,4,11704585.67
56,4,119431.1381
1,5,77749060.2
5,5,20451303360
6,5,34544594.41
8,5,30421757.37
10,5,6441001.717
13,5,47951737.02
18,5,20435369.6
19,5,48742533.59
21,5,23790563.24
22,5,6667452892
28,5,7923671.651
29,5,825555451.9
37,5,186672753
38,5,9915451.386
40,5,612252.6903
45,5,11043136.42
47,5,975062093.1
48,5,93035292.19
51,5,10424984
1,6,219120679.5
2,6,7509738.508
4,6,971501352.3
5,6,27612092.96
6,6,30165041929
8,6,332009966.2
9,6,26062337.89
10,6,1103071.083
12,6,362772868.2
13,6,312781916.1
15,6,105741657.5
16,6,208387760.4
17,6,351241826.2
18,6,116205412
19,6,71360839.58
20,6,113049053.3
21,6,24974895.1
22,6,127354510.4
23,6,14697071.71
24,6,395851572.5
25,6,133323367
26,6,400875119.8
27,6,141202604.6
28,6,14877315.1
29,6,110342242.9
30,6,123946490
31,6,14582199.47
32,6,154812096.4
33,6,19285994.39
34,6,295568607.7
35,6,82745990.36
36,6,528990570.4
37,6,86145150.61
38,6,24615952.54
39,6,186540358.9
40,6,61484736.03
41,6,433523898
42,6,397497640.6
44,6,6393554.81
45,6,154520956.1
46,6,62663.15467
47,6,58287040.03
48,6,841404072
49,6,603666041.5
50,6,10085188.29
51,6,43192136.71
53,6,709106651.6
54,6,7845469.824
55,6,133601244
56,6,14570635.93
1,8,357020045.5
4,8,244711978.4
5,8,36259814.11
6,8,4073414322
8,8,94292860629
12,8,70178645.53
13,8,646874846.7
16,8,110450398.3
17,8,274264408.6
18,8,142420009.2
19,8,105992554.2
20,8,2171508564
21,8,133530888.5
22,8,576870158.3
26,8,25851914.08
27,8,1120130519
28,8,110130692.2
29,8,6041923640
30,8,3438116.361
31,8,5111324388
32,8,107906577.9
34,8,70111639.88
35,8,412600589
36,8,112870659
37,8,115547951.3
38,8,1244157457
39,8,435237222.5
40,8,74144449.05
41,8,357518465
42,8,949836405.4
45,8,161471425
47,8,24948049.15
48,8,2511973758
49,8,112994752
51,8,138530478.6
53,8,3107134530
55,8,168268601.5
56,8,291825595.2
5,9,5640.095701
6,9,27630.97177
9,9,580727947.6
12,9,4163.904628
13,9,4179.833011
23,9,38923915.15
24,9,5563.188962
25,9,243700433.1
26,9,4108.557519
27,9,646.0380622
30,9,4504.729125
32,9,3763.174394
33,9,14219432.9
34,9,10350479.08
36,9,160593117.2
37,9,5966.386218
38,9,22380.82648
