Origin,Destination,Weight (m3)
CA,AL,351182.3328
CT,AL,88132.75984
FL,AL,44528558.74
GA,AL,1303844101
IL,AL,10492971.18
IN,AL,59146.53702
KS,AL,6152893.373
KY,AL,4786354.155
LA,AL,123996757.4
MD,AL,116121.2439
MA,AL,58327.32268
MN,AL,200390.535
MS,AL,85701948.15
MO,AL,104952.8244
NE,AL,58938.69288
NJ,AL,8160306.229
NY,AL,6884329.723
NC,AL,5740179.074
OH,AL,6641281.946
PA,AL,57776.32937
SC,AL,66353.75545
TN,AL,12585008.64
TX,AL,2399932.393
VA,AL,317218.601
WV,AL,1871462.151
AL,AZ,7834522.078
AZ,AZ,6268492882
AR,AZ,15473819.34
CA,AZ,1248760275
CO,AZ,110078958.9
CT,AZ,2397669.166
FL,AZ,55120139.97
GA,AZ,76456454.18
HI,AZ,7238.961565
ID,AZ,22798622.37
IL,AZ,133841519.6
IN,AZ,16005051.44
IA,AZ,85435648.32
KS,AZ,17689335.73
KY,AZ,21521759.74
LA,AZ,2475326.044
ME,AZ,188133.7871
MD,AZ,24285557.68
MA,AZ,80129626.32
MI,AZ,83193440.02
MN,AZ,104585943.8
MS,AZ,15799132.72
MO,AZ,14746948.18
MT,AZ,108480529.1
NE,AZ,40327397.45
NV,AZ,27221152.61
NJ,AZ,66890774.8
NM,AZ,10312180.02
NY,AZ,27179991.69
NC,AZ,37254226.05
OH,AZ,64967630.51
OK,AZ,8301770.608
OR,AZ,29320230.76
PA,AZ,39864592.91
SC,AZ,16510624.57
SD,AZ,7786836.353
TN,AZ,59819440.84
TX,AZ,116666459.8
UT,AZ,39867757.89
VA,AZ,33405647.32
WA,AZ,118717977.8
WI,AZ,11704585.67
WY,AZ,119431.1381
AL,AR,77749060.2
AR,AR,20451303360
CA,AR,34544594.41
CO,AR,30421757.37
DE,AR,6441001.717
GA,AR,47951737.02
IN,AR,20435369.6
IA,AR,48742533.59
KY,AR,23790563.24
LA,AR,6667452892
MS,AR,7923671.651
MO,AR,825555451.9
NC,AR,186672753
ND,AR,9915451.386
OK,AR,612252.6903
SC,AR,11043136.42
TN,AR,975062093.1
TX,AR,93035292.19
VA,AR,10424984
AL,CA,219120679.5
AK,CA,7509738.508
AZ,CA,971501352.3
AR,CA,27612092.96
CA,CA,30165041929
CO,CA,332009966.2
CT,CA,26062337.89
DE,CA,1103071.083
FL,CA,362772868.2
